lemma	lat	eng
utrum	utrum defenditis an impugnatis plēbem?	do you defend or attack the common people?
utrum	dī utrum sint necne quaeritur	it is sought whether the gods are or are not
uxor	uxōrem dūcere	to get married
vacuus	moenia defensoribus erant vacuā	the walls lacked guards
vacuus	animus ab ōdiō vacuus est	the heart is free of hate
vadum	Rhodanus nonnullis locīs vado trānsitur	the Rhone can be crossed by a shallow place in several locations
vadum	longa sulcant vada salsa carīnā	the long keels ploughed the salted straits
vagus	vagus et exsul errābat	he wandered, unsettled and an exile
vagus	vaga volubilisque fortūna est	fortune is doubtful and mutable
valeo	didicī ex tuīs litterīs tē valēre	I have learned from your letter that you are well
valeo	nōn valuērunt manūs ēdūcere telum	the hands were not able to draw out the spear
valeo	plūs apud mē antīquōrum auctōritās valet	the authority of the ancients carries more weight with me
valetudo	optima valetudine utī	to enjoy the best health
valetudo	gravis autumnus omnem exercitum valetudine temptāverat	an unhealthy autumnn assailed the whole army with sickness
validus	valida urbs et potens	a robust and powerful city
vallis	collēs affērunt umbram vallibus	hills bring shade to the valleys
vallum	oppidum vāllō fossaque circumdedērunt	they surrounded the town with a rampart and a trench
vanus	vanior erat jam hostium aciēs	the enemy’s battle line was already rather weak
vanus	vāna quaedam et inānia pollicebantur	certain vain and empty promises were made
varius	ita variē laetitia, maeror, lūctus atque gaudia agitābantur	and so, they were considering happiness, grief, sorrow and joy in turn
vasto	omnia ignī ferroque vastabant	they were laying waste to everything with fire and the sword
vastus	appārent rārī nantēs in gurgite vastō	here and there swimmers appear in the vast whirlpool
vastus	vastum maris aequor	the vast surface of the sea
vates	Cicerō quae nunc ūsū veniunt cecinit ut vātēs	Cicero foretold things which now are happening in reality, as if he were a seer
vates	sōla tuum vātēs Lesbia vincit opus	only the Lesbian poetess conquers your work
ve	duābus tribusve horis	in two or three hours
vehemens	vehemēns feroxque nātūrā	a vehement and wild nature
veho	ille taurus quī vexit Eurōpam	that is the bull which carried Europa
veho	equō vehitur	she rides a horse
vel	cornū dextrō vel sinistro	on the right or left wing
vel	ejus auctōritās eō tempore vel maxima erat	his authority was certainly the greatest at that time
velo	velatus togā	wrapped up in a toga
velo	scelere velandum est scelus	wickedness must be covered up by wickedness
volo	idem velle atque idem nōlle, ea dēmum est firma amīcitia	to want and not want the same things, this indeed is firm friendship
volo	dūcunt volentem fāta, nōlentem trahunt	the fates lead the willing, but they drag the unwilling
velox	nihil est animō velocius	nothing is swifter than the soul
velum	dum flāvit velīs aura secunda meīs	so long as a favorable wind blew for my sails
velut	velut sī cōram adesset	just as if he were here before our eyes
venenum	vim veneni in servō experti sunt	they have tested the strength of the poison on a slave
venio	mihi auxiliō venit	he comes as an aid to me
venio	mihi venit in mentem	it came into my mind
venter	vīgintī ventrēs pāscō et canem	I feed twenty stomachs and a dog
ventus	mare ventīs saevit	the sea rages with winds
Venus	alma Venus	bountiful Venus
Venus	fābula nūllīus veneris	a story of no beauty
ver	vērē redeunt arboribus comae	in the spring leaves return to the trees
verbum	haec plurimis ā mē verbīs dicta sunt	these things were said by me in very many words
vereor	vereor nē turpe sit timēre	I fear that it is shameful to be afraid
vereor	eum verebantur liberi	his freedmen revered him
vero	Marius ubi, quae Ligus ēgerat, cognōvit, tum vērō mīlitēs cohortātus est	when he learned what the Ligurian had done, Marius then indeed encouraged his soldiers
vero	eum verētur ut deum, amat vērō ut sodālem	he reveres him like a god, but in truth he loves him like a companion
verso	Sisyphus versat saxum	Sisyphus turns his rock
verso	sīc fortūna utrumque versavit	thus fortune treated each in turn
versor	mors ob oculōs saepe versata est	death often lingered before the eyes
versor	versabor in rē difficili	I will be engaged in a difficult business
versus	versibus insignem tē pudet esse meīs	you are ashamed to be prominent in my verses
verto	omnēs hostēs terga vertērunt	all the enemies turned their backs (to flee)
verto	ea quae glōriae esse debent mihi in crīmen vertis	you have changed these things, which should be glorious for me, into crime
verto	omnia in ūnīus potestate vertentur	everything will be in the power of a single man
vertex	nāvem rapidus vorat aequore vertex	a swift whirlpool devours the ship in the sea
vertex	ab imis unguibus usque ad verticem summum	from head to foot
verum	nōn modo agendo vērum etiam cogitando	not only by acting but also by thinking
verus	notionem vērī et falsī nūllam habet	he has no conception of true and false
verus	vērum est agrum habēre eōs, quōrum sanguine ac sūdōre partus sit	it is true that they possess a field, by whose blood and sweat it was produced
vester	vestrum est dare, vincere nostrum	your part is to give, ours to conquer
vestigium	magnae quondam urbis tenue vestigium	the thin trace of a once great city
vestis	arte laboratae vestēs	skillfully fashioned garments
veto	ridentem dīcere vērum quid vetat?	what forbids a laughing man from speaking the truth?
vetus	veterēs ac moris antiqui memorēs	old and mindful of ancient custom
vexo	cōnscientiā mentem vexābat	conscience troubles the mind
via	viae lātitūdō ex lēge octo pedēs habet	the width of a road is by law eight feet
via	tridui viam prōcesserat	he had advanced for a journey of three days
via	ratiōne et via	by manner and way
vicinus	sēdēs vīcīnā astris	a seat near to the stars
vicis	habet vicēs condiciō mortālium	the condition of mortals has changes of fortune
vicis	vestram meamque vicem explete	complete your own duty and mine
victor	exercitūs victor	the victorious army
victoria	jam animō victōriam praecipiebant	they figured victory to themselves beforehand
victus	major pars vīctus eōrum in lacte et carne cōnsistit	the greater part of sustenance consists of milk and meat
victus	vīctus regius	sustenance fit for a king
video	sparsam tempestāte classem vīdit	he saw the fleet scattered by the storm
video	videant cōnsulēs nē quid respublica dētrīmentī capiat	let the consuls see to it that no amount of damage seizes the republic
videor	satis dīxisse mihi videor	I think I have said enough
videor	nōbīs vīsum est respondēre	we thought we should reply
vigeo	hominēs habent mentem acrem et vigentem	men have a sharp and vigorous mind
vigilia	patiēns vigiliae	capable of staying awake
vigilia	nox in quattuor vigilias dividitur	the night is divided into four watches
viginti	vīgintī ventrēs pāscō et canem	I feed twenty stomachs and a dog
vinco	vestrum est dare, vincere nostrum	your part is to give, ours to conquer
vincio	post terga manūs vinxerat	he had bound the hands behind their backs
vinculum	hī vivunt, quī ē corporum vinculīs tamquam ē carcere ēvolāvērunt	these live, who have sprung out from the chains of the body as if from jail
vindico	victōriae decus sibi vindicāvit	he claimed the honor of victory for himself
vindico	C. Gracchus vindicandae frāternae mortis grātia tribunatum ingressus est	Gaius Gracchus took up the office of tribune for the sake of avenging the death of his brother
vindico	ab hāc necessitate vōs fortūna vindicat	your good fortune releases you from this obligation
violo	fīliae ejus stuprō violatae erant	his daughters were violated in dishonor
vir	vir fortis ac strenuus	a man strong and vigorous
viridis	senex, sed viridis animō ac vigens	old, but youthful and lively in spirit
virtus	emortuus est per virtūtem	he is dead through bravery
virtus	virtūte iustitiae ornatus est	he was equipped with the virtue of justice
vis	vīs consilii expers	senseless violence
vis	vīs dīvīna oratoris	the godlike force of the orator
vis	Rōmānī pulveris vim magnam animadvertērunt	the Romans noticed the great force of the dust
viso	aegypti visendae causā profectus est	he set out for the sake of seeing Egypt
visus	vīsus mortālēs relīquit	he left behind mortal sights
visus	nocturni vīsus	nightly visions
vita	in līberōs vītae necisque potestātem habent	they have the power of life and death over their children
vito	incīdit in Scyllam quī vult vītāre Charybdim	he falls upon Scylla who wants to avoid Charybdis
vitis	nūllam sacrā vīte prius sēverīs arborem	you must plant no tree before the sacred vine
vitium	virtūs est vitium fugere	virtue is to flee vice
vitulus	vitulōs leaenae lacerant	the lionesses mutilate the calves
vivo	quīdam vīvere tunc incipiunt, cum desinendum est	some begin to live at the time when they must stop
vivus	mors nec ad mortuōs pertinet nec ad vīvōs	death is a concern neither to the dead nor the living
vix	vix ea fātus erat, geminae cum forte columbae caelō advolavērunt	scarcely had he spoken these things, when by chance twin doves flew to the sky
voco	auxiliō deōs vocābant	they were calling on the gods for help
voco	certābant urbem Rōmam Remoramne vocarent	they were contending whether they would call the city Roma or Remora
voco	Italiam in exitium vocās	you call Italy to her destruction
volo	ex altō laeva volavit avīs	the bird flew from the left side of the heavens
volucer	volucrum cantus	the songs of birds
volucer	volucris fortūna	fleeting fortune
voluntas	ex voluntāte sullae omnia sē factūrum esse promisit	he promised that he would do all things according to the wish of Sulla
voluntas	voluntās erga caesarem	good will toward Caesar
voluptas	omne id quō gaudemus voluptās est	everything which we delight in is pleasure
volvo	amnis volvit sub undīs grandia saxa	the river rolled great rocks under the waves
volvo	multa sēcum volvebat	he was pondering many things with himself
votum	multī vōtīs vim tempestatis effugērunt	many escaped the violence of the storm by prayers
votum	audivērunt dī mea vōta	the gods have heard my prayers
vox	magna vōce clamare	to shout with a great voice
vox	nūlla vōx est audīta Populī Rōmānī majestāte indigna	no voice was heard unworthy of the sovereignty of the Roman people
